Source;Target;Weight;
Кнудсен, Якоб;Tolstoy;1;
Села, Камило Хосе;Tolstoy;1;
Гибалин, Борис Дмитриевич;Tolstoy;1;
Цингер, Василий Яковлевич;Tolstoy;1;
Tolstoy;Лакшин, Владимир Яковлевич;1;
Alexander Drankov;Tolstoy;1;
Кольцов, Виктор Григорьевич;Tolstoy;1;
Шмидт, Пётр Петрович (контр-адмирал);Tolstoy;1;
Соболевский, Сергей Александрович;Tolstoy;1;
Tolstoy;Лобачевский, Николай Иванович;1;
Книги, запрещённые в США в XIX веке;Tolstoy;1;
Бобылёв, Иван Тимофеевич;Tolstoy;1;
Титов, Анатолий Григорьевич;Tolstoy;1;
Трубецкой, Павел Петрович;Tolstoy;1;
Бутурлин, Сергей Александрович;Tolstoy;1;
Высоцкий, Константин Николаевич;Tolstoy;1;
Рощин-Инсаров, Николай Петрович;Tolstoy;1;
Сухотин, Михаил Сергеевич;Tolstoy;1;
Толстой, Виктория;Tolstoy;1;
Сыздыков, Жакан;Tolstoy;1;
Святополк-Мирский, Дмитрий Иванович;Tolstoy;1;
Аронсон, Наум;Tolstoy;1;
Tolstoy;Мориак, Франсуа;1;
Tolstoy;Адамович, Георгий Викторович;1;
Берлин, Исайя;Tolstoy;1;
Бурков, Георгий Иванович;Tolstoy;1;
Шутова, Ливия Васильевна;Tolstoy;1;
Ринтала, Пааво;Tolstoy;1;
Величко, Василий Львович;Tolstoy;1;
Tolstoy;Толстой, Лев Львович;1;
Балашов, Александр Дмитриевич;Tolstoy;1;
Толстой, Илья Львович;Tolstoy;1;
Аллен, Джеймс;Tolstoy;1;
Абдуллин, Хизмет;Tolstoy;1;
Карташёва, Ирина Павловна;Tolstoy;1;
Морозова, Маргарита Кирилловна;Tolstoy;1;
Толстая, Фёкла;Tolstoy;1;
Громека, Михаил Степанович;Tolstoy;1;
Розовский, Марк Григорьевич;Tolstoy;1;
Каменкова-Павлова, Анна Семёновна;Tolstoy;1;
Новожилов, Геннадий Дмитриевич;Tolstoy;1;
Накоряков, Николай Никандрович;Tolstoy;1;
Мишкинис, Мотеюс;Tolstoy;1;
Сухотин, Алексей Михайлович;Tolstoy;1;
Буренков, Евгений Дмитриевич;Tolstoy;1;
Дюпор, Луи-Антуан;Tolstoy;1;
Тальви, Айно;Tolstoy;1;
Марин, Сергей Никифорович;Tolstoy;1;
Далгат, Башир Керимович;Tolstoy;1;
Андреева, Мария Андреевна;Tolstoy;1;
Лопатин, Герман Александрович;Tolstoy;1;
Панкова, Татьяна Петровна;Tolstoy;2;
Шпир, Африкан Александрович;Tolstoy;1;
Яшвиль, Лев Владимирович;Tolstoy;1;
Толстой, Николай Ильич;Tolstoy;1;
Поль, Владимир Иванович;Tolstoy;1;
Александров, Николай Григорьевич (актёр);Tolstoy;1;
Чернышёв, Александр Иванович;Tolstoy;1;
Веригин, Пётр Васильевич;Tolstoy;1;
Сибиряков, Константин Михайлович;Tolstoy;1;
Tolstoy;Толстой, Николай Ильич;1;
Васильева, Татьяна Григорьевна;Tolstoy;1;
Кандауров, Антон Иванович;Tolstoy;1;
Белокуров, Владимир Вячеславович;Tolstoy;1;
Барнет, Ольга Борисовна;Tolstoy;1;
Калисанов, Владимир Виленович;Tolstoy;1;
Шестов, Лев Исаакович;Tolstoy;1;
Tolstoy;Венгеров, Семён Афанасьевич;1;
Гаджиев, Загид Гаджиевич;Tolstoy;1;
Мережковский, Дмитрий Сергеевич;Tolstoy;1;
Tolstoy;Краснов, Платон Николаевич;1;
Гриневская, Изабелла Аркадьевна;Tolstoy;1;
Стахович, Михаил Александрович (политик);Tolstoy;1;
Орманов, Гали;Tolstoy;1;
Успенский, Глеб Иванович;Tolstoy;1;
Кулаковский, Юлиан Андреевич;Tolstoy;1;
Климчук, Фёдор Данилович;Tolstoy;1;
Елпатьевский, Сергей Яковлевич;Tolstoy;1;
Сергеенко, Пётр Алексеевич;Tolstoy;1;
Веселитская, Лидия Ивановна;Tolstoy;1;
Спесивцева, Ольга Александровна;Tolstoy;1;
Яковлев, Николай Капитонович;Tolstoy;1;
Рерих, Николай Константинович;Tolstoy;1;
Эйфман, Борис Яковлевич;Tolstoy;1;
Hans-Jürgen Syberberg;Tolstoy;1;
Бунина, Ирина Алексеевна;Tolstoy;1;
Редсток, Гренвиль Вальдигрев;Tolstoy;1;
Rudolf Steiner;Tolstoy;1;
Tolstoy;Стриндберг, Юхан Август;1;
Серов, Владимир Александрович;Tolstoy;1;
Житова, Варвара Николаевна;Tolstoy;1;
Сидорова, Глафира Петровна;Tolstoy;1;
Морозов, Степан Юрьевич;Tolstoy;1;
Tolstoy;Aleksandr Pushkin;1;
Белова, Зоя Васильевна;Tolstoy;1;
Буканова, Галина Васильевна;Tolstoy;1;
Герчаков, Евгений Аркадьевич;Tolstoy;1;
Симонов, Евгений Рубенович;Tolstoy;1;
Качалов, Василий Иванович;Tolstoy;1;
Tolstoy;Дружинин, Александр Васильевич;1;
Мартынов, Александр Евстафьевич;Tolstoy;1;
Удалов, Юрий Фёдорович;Tolstoy;1;
Жиркевич, Александр Владимирович;Tolstoy;1;
Трошин, Владимир Константинович;Tolstoy;1;
Игнатова, Марина Октябрьевна;Tolstoy;1;
Крамской, Иван Николаевич;Tolstoy;1;
Топоров, Адриан Митрофанович;Tolstoy;1;
Emma Goldman;Tolstoy;1;
Марченко, Юлия Геннадьевна;Tolstoy;1;
Меклин, Наталья Фёдоровна;Tolstoy;1;
Авилова, Лидия Алексеевна;Tolstoy;1;
Лазарев, Владимир Яковлевич;Tolstoy;1;
Вильямс, Гарольд;Tolstoy;1;
Tolstoy;Минор, Соломон Алексеевич;1;
Занет, Фёдор Иванович;Tolstoy;1;
Tolstoy;Ivan Turgenev;1;
Лоу, Джуд;Tolstoy;1;
Tolstoy;Зеньковский, Василий Васильевич;1;
Толстой, Пётр Олегович;Tolstoy;1;
Хоуэллс, Уильям Дин;Tolstoy;1;
Славутинский, Степан Тимофеевич;Tolstoy;1;
Липов, Александр Александрович;Tolstoy;1;
Есенина-Толстая, Софья Андреевна;Tolstoy;1;
Рамиев, Сагит Лутфуллович;Tolstoy;1;
Каледин, Сергей Евгеньевич;Tolstoy;1;
Бриссо, Эдуард;Tolstoy;1;
Ватагин, Василий Алексеевич;Tolstoy;1;
Асмус, Валентин Фердинандович;Tolstoy;1;
Гартунг, Мария Александровна;Tolstoy;1;
Бауманн, Ханс;Tolstoy;1;
Гучков, Николай Иванович;Tolstoy;1;
Tolstoy;Страхов, Николай Николаевич;1;
Тумас, Юозас;Tolstoy;1;
Лауреаты Государственной премии СССР в области литературы, искусства и архитектуры;Tolstoy;1;
Чейшвили, Александр Николаевич;Tolstoy;1;
Степняк-Кравчинский, Сергей Михайлович;Tolstoy;1;
Толстая, Татьяна (значения);Tolstoy;1;
Нерман, Туре;Tolstoy;1;
Шанкс, Эмилия Яковлевна;Tolstoy;1;
Салиас-де-Турнемир, Евгений Андреевич;Tolstoy;1;
Цуркану, Юрий Михайлович;Tolstoy;1;
Конёнков, Сергей Тимофеевич;Tolstoy;1;
Дрожжин, Спиридон Дмитриевич;Tolstoy;1;
Столыпин, Пётр Аркадьевич;Tolstoy;1;
Constance Garnett;Tolstoy;2;
Спесивцев, Вячеслав Семёнович;Tolstoy;1;
Антуан, Андре;Tolstoy;2;
Кочарян, Сурен Акимович;Tolstoy;1;
Яхонтов, Владимир Николаевич;Tolstoy;1;
Коннери, Шон;Tolstoy;1;
Лопатин, Михаил Николаевич;Tolstoy;1;
Олсуфьев, Василий Дмитриевич;Tolstoy;1;
Клуни, Джордж;Tolstoy;1;
Булла, Карл Карлович;Tolstoy;1;
Чуркин, Виталий Иванович;Tolstoy;1;
Christian Morgenstern;Tolstoy;1;
Кассирс, Ги;Tolstoy;1;
Иванычев, Евгений Иванович;Tolstoy;1;
Tolstoy;Филиппов, Тертий Иванович;1;
Полнер, Тихон Иванович;Tolstoy;1;
Кайсаров, Андрей Сергеевич;Tolstoy;1;
Лебедев, Владимир Васильевич;Tolstoy;1;
Медведева, Полина Владимировна;Tolstoy;1;
Абрамов, Яков Васильевич;Tolstoy;1;
Tolstoy;Толстой, Николай Николаевич;1;
Лиелдиджс, Улдис;Tolstoy;1;
Чертков, Владимир Григорьевич;Tolstoy;2;
Кибардина, Валентина Тихоновна;Tolstoy;1;
Никольский, Георгий Евлампиевич;Tolstoy;1;
