Source;Target;Weight;In index
Knudsen Jakob;Leo Tolstoy;1;1
Sela Kamilo Hose;Leo Tolstoy;1;1
Gibalin Boris Dmitrievich;Leo Tolstoy;1;1
Tsinger Vasilij Jakovlevich;Leo Tolstoy;1;10
Leo Tolstoy;Lakshin Vladimir Jakovlevich;1;1
Alexander Drankov;Leo Tolstoy;1;10
Kol'tsov Viktor Grigor'evich;Leo Tolstoy;1;1
Shmidt Petr Petrovich;Leo Tolstoy;1;1
Sobolevskij Sergej Aleksandrovich;Leo Tolstoy;1;10
Leo Tolstoy;Lobachevskij Nikolaj Ivanovich;1;10
Bobylev Ivan Timofeevich;Leo Tolstoy;1;1
Titov Anatolij Grigor'evich;Leo Tolstoy;1;1
Trubetskoj Pavel Petrovich;Leo Tolstoy;1;10
Buturlin Sergej Aleksandrovich;Leo Tolstoy;1;10
Vysotskij Konstantin Nikolaevich;Leo Tolstoy;1;1
Roschin-Insarov Nikolaj Petrovich;Leo Tolstoy;1;10
Suhotin Mihail Sergeevich;Leo Tolstoy;1;10
Tolstoj Viktorija;Leo Tolstoy;1;1
Syzdykov Zhakan;Leo Tolstoy;1;1
Svjatopolk-Mirskij Dmitrij Ivanovich;Leo Tolstoy;1;10
Aronson Naum;Leo Tolstoy;1;10
Leo Tolstoy;Moriak Fransua;1;1
Leo Tolstoy;Adamovich Georgij Viktorovich;1;10
Berlin Isajja;Leo Tolstoy;1;10
Burkov Georgij Ivanovich;Leo Tolstoy;1;1
Shutova Livija Vasil'evna;Leo Tolstoy;1;1
Rintala Paavo;Leo Tolstoy;1;1
Velichko Vasilij L'vovich;Leo Tolstoy;1;10
Leo Tolstoy;Tolstoj Lev L'vovich;1;10
Balashov Aleksandr Dmitrievich;Leo Tolstoy;1;10
Tolstoj Il'ja L'vovich;Leo Tolstoy;1;10
Allen Dzhejms;Leo Tolstoy;1;1
Abdullin Hizmet;Leo Tolstoy;1;1
Kartasheva Irina Pavlovna;Leo Tolstoy;1;1
Morozova Margarita Kirillovna;Leo Tolstoy;1;1
Tolstaja Fekla;Leo Tolstoy;1;1
Gromeka Mihail Stepanovich;Leo Tolstoy;1;10
Rozovskij Mark Grigor'evich;Leo Tolstoy;1;1
Kamenkova-Pavlova Anna Semenovna;Leo Tolstoy;1;1
Novozhilov Gennadij Dmitrievich;Leo Tolstoy;1;1
Nakorjakov Nikolaj Nikandrovich;Leo Tolstoy;1;1
Mishkinis Motejus;Leo Tolstoy;1;1
Suhotin Aleksej Mihajlovich;Leo Tolstoy;1;1
Burenkov Evgenij Dmitrievich;Leo Tolstoy;1;1
Djupor Lui-Antuan;Leo Tolstoy;1;1
Tal'vi Ajno;Leo Tolstoy;1;1
Marin Sergej Nikiforovich;Leo Tolstoy;1;1
Dalgat Bashir Kerimovich;Leo Tolstoy;1;1
Andreeva Marija Andreevna;Leo Tolstoy;1;1
Lopatin German Aleksandrovich;Leo Tolstoy;1;10
Pankova Tat'jana Petrovna;Leo Tolstoy;2;1
Shpir Afrikan Aleksandrovich;Leo Tolstoy;1;10
Jashvil' Lev Vladimirovich;Leo Tolstoy;1;10
Tolstoj Nikolaj Il'ich;Leo Tolstoy;1;10
Pol' Vladimir Ivanovich;Leo Tolstoy;1;10
Aleksandrov Nikolaj Grigor'evich;Leo Tolstoy;1;1
Chernyshev Aleksandr Ivanovich;Leo Tolstoy;1;10
Verigin Petr Vasil'evich;Leo Tolstoy;1;10
Sibirjakov Konstantin Mihajlovich;Leo Tolstoy;1;10
Leo Tolstoy;Tolstoj Nikolaj Il'ich;1;10
Vasil'eva Tat'jana Grigor'evna;Leo Tolstoy;1;1
Kandaurov Anton Ivanovich;Leo Tolstoy;1;10
Belokurov Vladimir Vjacheslavovich;Leo Tolstoy;1;1
Barnet Ol'ga Borisovna;Leo Tolstoy;1;1
Kalisanov Vladimir Vilenovich;Leo Tolstoy;1;1
Shestov Lev Isaakovich;Leo Tolstoy;1;10
Leo Tolstoy;Vengerov Semen Afanas'evich;1;10
Gadzhiev Zagid Gadzhievich;Leo Tolstoy;1;1
Merezhkovskij Dmitrij Sergeevich;Leo Tolstoy;1;10
Leo Tolstoy;Krasnov Platon Nikolaevich;1;1
Grinevskaja Izabella Arkad'evna;Leo Tolstoy;1;10
Stahovich Mihail Aleksandrovich;Leo Tolstoy;1;10
Ormanov Gali;Leo Tolstoy;1;1
Uspenskij Gleb Ivanovich;Leo Tolstoy;1;10
Kulakovskij Julian Andreevich;Leo Tolstoy;1;1
Klimchuk Fedor Danilovich;Leo Tolstoy;1;1
Elpat'evskij Sergej Jakovlevich;Leo Tolstoy;1;10
Sergeenko Petr Alekseevich;Leo Tolstoy;1;10
Veselitskaja Lidija Ivanovna;Leo Tolstoy;1;10
Spesivtseva Ol'ga Aleksandrovna;Leo Tolstoy;1;1
Jakovlev Nikolaj Kapitonovich;Leo Tolstoy;1;1
Rerih Nikolaj Konstantinovich;Leo Tolstoy;1;1
Ejfman Boris Jakovlevich;Leo Tolstoy;1;1
Hans-Jürgen Syberberg;Leo Tolstoy;1;1
Bunina Irina Alekseevna;Leo Tolstoy;1;1
Redstok Grenvil' Val'digrev;Leo Tolstoy;1;10
Rudolf Steiner;Leo Tolstoy;1;1
Leo Tolstoy;Strindberg Juhan Avgust;1;10
Serov Vladimir Aleksandrovich;Leo Tolstoy;1;1
Zhitova Varvara Nikolaevna;Leo Tolstoy;1;1
Sidorova Glafira Petrovna;Leo Tolstoy;1;1
Morozov Stepan Jur'evich;Leo Tolstoy;1;1
Leo Tolstoy;Aleksandr Pushkin;1;1
Belova Zoja Vasil'evna;Leo Tolstoy;1;1
Bukanova Galina Vasil'evna;Leo Tolstoy;1;1
Gerchakov Evgenij Arkad'evich;Leo Tolstoy;1;1
Simonov Evgenij Rubenovich;Leo Tolstoy;1;1
Kachalov Vasilij Ivanovich;Leo Tolstoy;1;1
Leo Tolstoy;Druzhinin Aleksandr Vasil'evich;1;10
Martynov Aleksandr Evstaf'evich;Leo Tolstoy;1;10
Udalov Jurij Fedorovich;Leo Tolstoy;1;1
Zhirkevich Aleksandr Vladimirovich;Leo Tolstoy;1;10
Troshin Vladimir Konstantinovich;Leo Tolstoy;1;1
Ignatova Marina Oktjabr'evna;Leo Tolstoy;1;1
Kramskoj Ivan Nikolaevich;Leo Tolstoy;1;10
Toporov Adrian Mitrofanovich;Leo Tolstoy;1;1
Emma Goldman;Leo Tolstoy;1;1
Marchenko Julija Gennad'evna;Leo Tolstoy;1;1
Meklin Natal'ja Fedorovna;Leo Tolstoy;1;1
Avilova Lidija Alekseevna;Leo Tolstoy;1;10
Lazarev Vladimir Jakovlevich;Leo Tolstoy;1;1
Vil'jams Garol'd;Leo Tolstoy;1;10
Leo Tolstoy;Minor Solomon Alekseevich;1;10
Zanet Fedor Ivanovich;Leo Tolstoy;1;1
Leo Tolstoy;Ivan Turgenev;1;10
Lou Dzhud;Leo Tolstoy;1;1
Leo Tolstoy;Zen'kovskij Vasilij Vasil'evich;1;1
Tolstoj Petr Olegovich;Leo Tolstoy;1;1
Houells Uil'jam Din;Leo Tolstoy;1;10
Slavutinskij Stepan Timofeevich;Leo Tolstoy;1;1
Lipov Aleksandr Aleksandrovich;Leo Tolstoy;1;1
Esenina-Tolstaja Sof'ja Andreevna;Leo Tolstoy;1;1
Ramiev Sagit Lutfullovich;Leo Tolstoy;1;1
